county_area_county_id,POINT_X,POINT_Y
337,775482.2354,2990699.53
338,715416.597,2988615.253
339,616525.7916,3008888.404
340,663387.2274,2941514.222
341,551866.931,2944773.233
342,608982.4543,2952427.292
343,833795.4319,2890432.35
344,790235.3305,2924186.206
345,789789.6393,2877272.866
346,761072.1132,2940336.768
347,744314.0099,2902963.575
348,704018.8763,2913256.696
349,673669.3774,2880714.184
350,464499.3078,2940316.467
351,439699.0663,2958969.971
352,853756.3196,2851554.858
353,785094.7999,2803073.063
354,729108.5739,2832654.905
355,502090.781,2916711.459
356,499527.2703,2875333.371
357,451847.2184,2891240.737
358,472736.4361,2841086.038
359,877478.4584,2806270.829
360,827608.2937,2824060.986
361,832952.9791,2789953.879
362,737438.979,2792870.092
363,687035.4627,2838431.456
364,690808.3451,2800078.93
365,657133.4447,2806199.482
366,637213.6408,2807489.2
367,567147.0884,2828552.738
368,528338.6922,2774957.767
369,758567.9953,2741798.337
370,721375.9906,2738686.852
371,741361.3769,2711972.533
372,669489.021,2737803.749
373,661168.3528,2690966.762
374,627896.1647,2662802.914
375,485998.0462,2978055.821
376,886961.1129,2762906.451
377,685546.4445,3134198.057
378,676850.2427,3023135.778
379,478672.5276,3072974.807
380,797529.2285,3016608.443
381,484062.5834,3027126.007
382,509602.8469,2955986.071
383,585799.5934,2892718.028
384,652357.9744,2761235.156
385,462634.8891,2994021.599
386,483509.7446,2916311.875
387,634057.6221,2904562.027
388,623629.0986,2853892.68
389,454227.5882,2796329.44
390,525359.5525,3087759.882
391,495771.692,3135734.948
392,603903.2975,3069024.814
393,731834.5981,2945978.081
394,723138.1955,2874821.954
395,627904.4136,2882692.765
396,550738.6255,2862904.58
397,780052.095,2966934.61
398,789525.4223,2968517.887
399,683694.4582,2945533.656
400,643442.6261,2884910.651
401,514226.5579,2817565.536
402,801485.7986,2970513.546
403,788928.8199,2956482.12
404,632903.9725,2874971.912
405,781178.0277,3131277.524
406,720567.9719,3027997.313
407,797888.474,2957912.928
408,733333.3728,2969532.458
409,758661.0968,2894805.146
410,634432.6939,2933010.738
411,749705.7266,2861180.508
412,744525.7355,2851204.742
413,769779.2052,2963572.572
414,756872.2955,2851997.112
415,651164.9912,3083771.899
416,751151.8225,2846567.179
417,1283766.546,3567676.387
418,1086119.164,3161159.021
419,1050150.53,3157629.897
420,996225.341,3176357.127
421,961161.6381,3137274.014
422,1180246.621,3128855.621
423,1159068.155,3096235.903
424,1121581.537,3089414.441
425,1080005.061,3092395.932
426,1047706.564,3088196.344
427,1031445.699,3130875.457
428,985353.4859,3104020.133
429,1020974.687,3095458.262
430,979910.0992,3081213.615
431,1222331.968,3082768.428
432,1201201.032,3073085.674
433,1144589.109,3007618.335
434,1155264.693,3052742.27
435,1127426.576,3038177.722
436,1095395.762,3059242.691
437,1106399.531,3002338.48
438,1051730.943,3017231.977
439,998491.2642,3040051.753
440,1013099.27,3006962.104
441,957434.3894,3017244.914
442,946242.948,3044879.663
443,1102233.36,2942143.673
444,1062659.262,2935427.948
445,1080202.209,2975788.453
446,1061172.305,2889744.491
447,998389.7317,2957514.522
448,1025440.83,2972525.99
449,975581.8478,2979922.777
450,958414.4931,2893863.067
451,1007160.915,2910176.2
452,927045.2546,2920297.635
453,887277.0847,2940354.012
454,870577.1633,2947252.262
455,1088798.267,2850582.808
456,1034924.465,2826345.75
457,997097.6566,2883423.6
458,995942.5488,2853595.589
459,973295.2997,2822223.656
460,1046823.355,2772950.481
461,1003989.09,2734774.171
462,991121.1841,2756317.292
463,1043771.725,2694722.868
464,1017953.74,3158743.358
465,1261593.988,3086005.751
466,943585.1108,2976116.541
467,1035702.69,3091171.885
468,1164508.748,3157457.504
469,1050042.94,3198792.604
470,1169390.502,3046124.048
471,1050976.811,3077567.623
472,1052541.164,3083271.042
473,977550.3552,2902447.471
474,1170976.618,3164338.253
475,1055535.873,3075978.563
476,952973.6286,3890044.95
477,681308.1773,4303614.297
478,696400.2338,4272617.576
479,651396.2839,4324664.624
480,621470.7923,4323175.55
481,656410.9802,4270707.75
482,608726.9519,4278385.048
483,562817.1579,4257540.074
484,682512.1101,4224327.091
485,653512.916,4193228.814
486,630297.8615,4242411.204
487,612114.9649,4188179.041
488,593672.257,4226647.877
489,572484.3115,4206576.213
490,557407.68,4174918.068
491,701956.2578,4082135.414
492,660369.584,4110402.588
493,686501.9596,4159351.411
494,650439.8105,4147551.397
495,604537.0699,4139869.817
496,612345.4183,4084226.144
497,565722.4328,4130824.921
498,546000.8837,4077733.182
499,692001.2282,4003653.974
500,677825.0125,4060500.643
501,640881.4238,4045888.562
502,670712.0244,4032344.362
503,648535.8445,4017522.85
504,603423.0398,4033247.17
505,632045.7851,3999969.305
506,589113.4642,4058002.764
507,546301.1854,4039897.065
508,585552.535,4015827.379
509,537269.4485,4006948.002
510,669507.058,3952857.447
511,637880.8489,3949784.769
512,609480.3822,3984487.516
513,588323.4196,3961407.277
514,567700.0437,3938308.937
515,525785.0129,3943502.346
516,687848.1157,3886695.361
517,681199.1185,3912512.235
518,643903.8448,3889369.189
519,671422.3097,3851451.17
520,585537.3984,3903568.384
521,616646.5123,3903217.557
522,570763.38,3879989.931
523,612175.3778,3862397.428
524,697871.9603,3820633.742
525,604524.3125,3836113.494
526,590487.8506,3810285.471
527,529402.9069,3817690.275
528,562463.355,3794309.943
529,524165.8521,3743948.422
530,684225.6797,4333701.948
531,584488.9105,4097083.433
532,598477.5541,3935510.232
533,712409.1702,3907804.613
534,645829.7263,4095900.932
535,713738.1968,3878947.952
536,726221.955,4089616.455
537,700099.6041,3940877.46
538,682399.8286,4357837.808
539,564750.8609,3851100.048
540,541130.5306,3911908.838
541,702327.3899,3853727.637
542,547605.2785,3822549.923
543,579270.8052,3988306.382
544,550775.9724,3972858.817
545,725318.7951,3919618.457
546,578497.0955,3832761.472
547,565304.4266,3822572.038
548,694774.8597,4339457.386
549,638327.3398,4082881.801
550,658309.6415,4090032.412
551,642449.8961,4067438.116
552,715594.0836,3896747.209
553,665754.8415,4087271.493
554,654024.5254,4066759.502
555,737719.3576,4090665.637
556,740429.5076,4089399.032
557,461784.9019,4094455.211
558,492255.3358,4041483.378
559,467106.0815,4031677.688
560,459856.412,3993556.977
561,384812.504,4064835.988
562,330043.5784,4021119.538
563,401559.7373,3995586.007
564,363719.9156,3959439.573
565,272476.4997,3962719.233
566,243945.4175,4025242.495
567,407335.2899,3921685.657
568,367458.0761,3894828.198
569,320009.7395,3938154.133
570,403937.9459,3827461.825
571,357345.0519,3856386.771
572,350520.0271,3812169.93
573,437042.9718,3770142.879
574,407185.994,3774289.751
575,384027.3081,3762199.699
576,379236.8201,3728825.195
577,413962.2074,3740229.797
578,363447.8249,3743564.735
579,343276.356,3747496.536
580,312750.1423,3758210.509
581,319568.0037,3725236.871
582,273863.6044,3744329.584
583,242689.1067,3713402.896
584,252595.1053,3757137.592
585,194841.244,3710107.86
586,146657.1815,3681078.212
587,158239.2223,3721787.15
588,433506.7353,3678464.488
589,410413.9894,3693250.571
590,399975.2939,3641681.12
591,386468.3663,3682101.961
592,369691.956,3663580.931
593,356462.316,3633220.027
594,357200.2133,3707949.807
595,339619.8741,3696579.899
596,312800.0554,3694344.88
597,327357.6846,3670243.005
598,342106.895,3675782.008
599,313351.4839,3661645.238
600,281807.178,3620582.155
601,287531.7146,3661803.127
602,263189.846,3671799.324
603,241889.5865,3671019.763
604,218573.5245,3617637.245
605,189121.8017,3656043.988
606,189458.2484,3671745.754
607,159375.5124,3622059.512
608,441867.1453,3620458.218
609,389036.2357,3595418.777
610,314165.0828,3574601.948
611,297523.5846,3520879.746
612,266385.0174,3574592.321
613,238383.3516,3553654.563
614,206247.404,3536123.405
615,177796.5758,3579516.204
616,151604.077,3537416.839
617,105458.3403,3552706.385
618,397257.2111,4126008.486
619,438235.8598,3824450.124
620,374016.2207,3785488.109
621,290240.0186,3685691.796
622,454993.8383,3693116.42
623,366212.6012,3688551.419
624,325102.9938,3627726.068
625,255791.1828,3642075.547
626,186673.2431,3531697.456
627,462991.48,3769786.49
